no,title,phone,mobile,manager,address,email,website,group,subgroup
6828,عمده فروشي دخانيات,34231642,,احمد علي نژاد رنجبر,رفسنجان ميدان شهيد كاظمي,,,فروشندگان دخانیات,دخانیات
6829,علی طالبی,34320750,,علی طالبی,خیابان شهید مطهری بعد از سه راه شهید نوری,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6830,محسنی,34265387,,محمدجواد محسنی رنجبر شاه ابادی,خ 17 شهریور جنب ابشار,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6831,علي احمديان پور,34283579,,علي احمديان پور,خ شهيد مفتح,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
6832,خواربارفروشي كوهستان,,,زهرا باتو ته,رفسنجان خيابان شهيد حيدر پور كوچه اول از سمت مطهري,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6833,عمده فروشي دخانيات,34263590,,طوبی علی حاج محمد,رفسنجان میدان بسیج جنب خواربارفروشی آقای حسین کریمی,,,فروشندگان دخانیات,دخانیات
6834,عسکری,34221257,,اکبر عسکری عباس ابادی,خ 15 خرداد روبروی پارک تقی اباد,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6835,زهره صرافی پور,34332713,,زهره صرافی پور,خیابان آیت الله صدر نبش کوچه شهید مرادی,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6836,اكبر هاشيريان,34220989,,اكبر هاشيريان,خ- مصطفي خميني نبش كوچه 68,,,عطاری و داروهای گیاهی,طب و پزشکان
6837,سوپر ماركت رضا,,,رضا عباسي دولت آباد,رفسنجان فردوس خيابان امام خميني (ره) جنب بانك سپه,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6838,محمود عبدالحسني نسب,34251971,,محمود عبدالحسني نسب,خ اميركبير شرقي,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
6839,مهديه صادقيان,34287342,,مهديه صادقيان,رفسنجان بلوار امام رضا ( ع ) جنب كوچه شهيد علي نوروزي,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6840,عباس بشکوهی ( سوپر مهران ),34230722,,عباس بشکوهی,خیابان مصطفی خمینی خیابان شهید حسینی,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6841,صفوی,34362626,,سید اصغر صفوی,کشکوئه - روستای علی آباد شهید,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6842,علی مرادی پور بهرمان,,,علی مرادی پور بهرمان,رفسنجان نوق بهرمان خیابان شهداء,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6843,خواربارفروشي,34161151,,شمسي غلامي مهدي آباد,رفسنجان نوق مهدي آباد جاده اصلي,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6844,علي ميرزايي,34229318,,علي ميرزايي,خ مصطفي خميني,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
6845,عمده فروشي دخانيات,34261847,,احمد عليزاده,رفسنجان خيابان مدرس,,,فروشندگان دخانیات,دخانیات
6846,محمدعلی شریفی رستم آبادی,34266737,,محمدعلی شریفی رستم آبادی,خیابان شریعتی شرقی جنب کوچه مدرسه پروین اعتصامی,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6847,جعفری,34390067,,علی دفعه جعفری,کشکوئه - احمد آباد دفئه,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6848,عرقيات كوثر,,,حميدرضا بني اسدي,خ- بلوارطالقاني جنب ابشار,,,عطاری و داروهای گیاهی,طب و پزشکان
6849,حسين پورزارع دولت آبادي,34321783,,حسين پورزارع دولت آبادي,رفسنجان خيابان شهيد مطهري جنب پارس گاز,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6850,محمد ملاحسینی کهنوجی,34339199,,محمد ملاحسینی کهنوجی,خیابان امیر کبیر غربی,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6851,خواربارفروشی,,,محمد پورمختار,رفسنجان سرچشمه کمپ 1/4,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6852,خواربارفروشي,34229911,,اكبر حيدري زاده رحمت آبادي,رفسنجان خيابان شهيد ميرافضلي نبش چهار راه رستم آباد,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6853,حسن صادقي,34265058,,حسن صادقي,خ شهيد انصاري,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
6854,خواربارفروشي,34223304,,حسن رياحي,رفسنجان خيابان مصطفي خميني خيابان شهيد پژو,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6855,علیپور,34251492,,حسن علیپور,خ شهید انصاری,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6856,محمود مداین زاده,34266751,,محمود مداین زاده,خیابان شهدا جنب کوی زینبیه,,,عطاری و داروهای گیاهی,طب و پزشکان
6857,علي كريمي,34250102,,علي كريمي رحمت ابادي,خ- مصطفي خميني جنب پمپ بنزين,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6858,ناصر حسيني پور علي آباديان,,,ناصر حسيني پور علي آباديان,رفسنجان خيابان بعثت ساحلي,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6859,حسین حاج محمدی گلنابادی,34321176,,حسین حاج محمدی گلنابادی,رفسنجان خیابان آیت اله صدر,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6860,خواربارفروشي,34328049,,مرتضي كرمي راويز,رفسنجان خيابان اميركبير غربي خيابان شهيد ملاحسيني,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6861,طیبه امیری حسن آبادی,34285451,,طیبه امیری حسن آبادی,خیابان کارگر کوچه شماره 1,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6862,محمد قرائي,34265969,,محمد قرائي,خ اميركبير روبروي مجمع سابق,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
6863,خواربارفروشي,34329065,,علي حيدري پور كشكوئي,رفسنجان خيابان اميركبير غربي كوچه شماره 52,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6864,اسمعیلی,34223914,,محمود اسمعیلی درجوزی,خ رضوان جنب پل رستم اباد,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6865,فاطمه علی عباسی,34320420,,فاطمه علی عباسی,رفسنجان خیابان دانشجو,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6866,علی دباغیان,34264703,,علی دباغیان,خیابان شهید انصاری جنب پاساژ فرزان,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6867,صديقه حسيني,,,صديقه حسيني,خ- شهيد قره ني,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6868,خليج فارس,34321295,,حسين سالاري,رفسنجان بلوار خليج فارس كوچه مقداد 2,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6869,خواربارفروشي,34268486,,علي پيرامون,رفسنجان خيابان مدرس جنب كافي نت هزار و يك شب,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6870,حسن پور علامحسيني,34251945,,حسن پور غلامحسيني,خ اميركبير شرقي سه راه عباسيه,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
6871,خواربارفروشي,34255509,,حسين رضائي سعيد آبادي,رفسنجان خيابان جانبازان نبش كوچه 53,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6872,ابوالفضل محمدی صدر,34261468,,ابوالفضل محمدی صدر,میدان بسیج,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6873,خواربارفروشی,34282220,,احمد آذر باد,خیابان شهید مفتح,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6874,ربابه جعفری اسفندی,34373419,,ربابه جعفری اسفندی,رفسنجان مهدی آباد واحد کوچه چهارده معصوم,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6875,مهدي پور عابديني,,,مهدي پور عابديني,نوق فردوسيه نوق خ امام امام رضا,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
6876,مواد غذايي بركت,34267049,,علي صالحي رنجبر,رفسنجان خيابان عباسيه نبش عباسيه 10,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6877,موادغذایی ولیعصر,,,لیلی زارع ناصریه,علی اباد انقلاب جاده کوثر ولایت جاده کریم اباد علیا,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6878,حسین میرزائی,34221506,,حسین میرزائی,رفسنجان خیابان مصطفی خمینی ک 51,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6879,برنج سراي صادقي,34288315,,حامد صادقي نژاد فتح آبادي,رفسنجان بلوار امام رضا نرسيده به نمايندگي سايپا,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6880,مصطفی عباسی دردر ( آتنا ),34221676,,مصطفی عباسی دردر,خیابان شریعتی شرقی جنب چهارراه آذر,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6881,احمد علي عليمرداني,34228499,,احمد علي عليمرادي,خ- 15 خرداد رحمت اباد,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6882,ميرزايي,34323898,,محمد اسماعيل ميرزايي,خ- شهيد مطهري بين مطهري 15 و 13,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6883,امید محمدی نژاد رفسنجانی ( شهدا ),34260686,,امید محمدی نژاد رفسنجانی,خیابان شهدا جنب باربری کوشش,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6884,خواربارفروشی,34360586,,اصغر ایرانپور,لطف آباد خ حضرت ابوالفضل(ع),,,سوپر مواد غذایی و خواربار,محصولات غذایی
6885,شهر دوچرخه,34257711,,اميرمحمد حسيني,بلوار طالقاني,,,فروشگاه دوچرخه,خدمات وسایل نقلیه
6886,عطاري,34254945,,رحيم نژادي,رفسنجان خيابان شهداء نبش كوچه شماره 7,,,عطاری و داروهای گیاهی,طب و پزشکان
6887,سوپرمارکت جواد,34310759,,جواد خالویی,سرچشمه خ لاله4 پ20,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6888,نرجس پوشیده رو,34284375,,نرجس پوشیده رو,بلوار خیبر شهرک جهاد (جاده سرچشمه ),,,سوپر مواد غذایی و خواربار,محصولات غذایی
6889,حسين يوسفيان پور,34221839,,حسين يوسفيان پور,خ- اميركبير شرقي روبروي سه راه عباسيه,,,عطاری و داروهای گیاهی,طب و پزشکان
6890,مهدوي مرج,34212708,,داوود مهدوي مرج,كوثر ريز- خ- امام,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6891,امیر نوری سرخانی,34258502,,امیر نوری سرخانی,میدان بسیج,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6892,حسین پورطالبی,34253673,,حسين پورطالبی,رفسنجان خيابان آيت اله صدر روبروی اداره بهزيستی,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6893,مهدی احمدیان پور رنجبر,34265519,,مهدی احمدیان پور رنجبر,خ امام روبروی بسیج خواهران,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
6894,خواربارفروشي,34390360,,محمد رضا زرگري جنت آباد,رفسنجان كشكو ئيه خيابان امام خميني,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6895,بختیاری,34312613,,جعفر بختیاری دولت,سرچشمه مریم21 پ12,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6896,فاطمه ابراهيمی رفسنجانی,,,فاطمه ابراهيمی رفسنجانی,رفسنجان خیابان کارگر جنوبی نبش میدان پلاک 2,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6897,فروشگاه مواد غذائي,34268284,,پروانه دهنمكي,رفسنجان خيابان انقلاب روبروي رستوران رضائي,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6898,خواربارفروشی,34290164,,حسین محمدی زاده خنامانی,محمد آباد میثم-جنب نجاری ذاکری,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6899,سیدمحمد ابو البقایی - عطاری شقایق,34263259,,سیدمحمد ابو البقايی,بازار عطاری شقایق,,,عطاری و داروهای گیاهی,طب و پزشکان
6900,محمدجواد ستاري,34250383,,محمد جواد ستاري,خ- سيد جمال الدين اسد اباد,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6901,اسداللهي,34210658,,فاطمه اسدالهي كشكويي,كاظم اباد خ- شهيد حسين پور,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6902,حسین یوسف زاده,34333296,,حسین یوسف زاده مغویی,خ حجت بروبروی سقاخانه,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
6903,برنج شاليزار,34330113,,ثريا فتحي,رفسنجان خيابان مطهري روبروي سه راه حجت,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6904,حمیدی,34373839,,اعظم رضاحمیدی,روستای حمیداباد خ شهید اسماعیلی,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6905,سیدعلی محمودی میمند ( سید ),34263601,,سیدعلی محمودی میمند,خیابان شریعتی شرقی جنب شریعتی 11,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6906,مجید غلامحسینی نصرت آبادی - مواد غذايي ص,34224502,,مجید غلامحسینی نصرت آبادی,خیابان کارگر شمالی جنب کوچه شماره 45,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6907,محمدرضا رنجبر دره دری,34259867,,محمدرضا رنجبر دره دری,خیابان امیرکبیر شرقی رو بروی سه راه عباسیه,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6908,محمود طالبي زاده,34254825,,محمود طالبي زاده,خ- شهدا جنب كوچه مسجد جامع,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6909,فرشته امیری داوران,34259212,,فرشته امیری داوران,خ کارگر شمالی روبروی پارک شاهد,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
6910,حمید خواجو ئی,34286558,,حمید خواجو ئی,علی آباد انقلاب جاده اصلی کریم آباد علیا جنب خروجی علی آباد,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6911,حسین ابراهیمی دستوشی,34323403,,حسین ابراهيمی دستوشی,خيابان اميرکبیر غربی شهرک شهيد زینلی جنب کوچه ش 10,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6912,علی ناصری,34329243,,علی ناصری,خیابان شهید قره نی چهارراه شهید اسماعیلی جنب جوشکاری,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6913,محمدرضا رنجبرمحمدي,,,محمدرضا رنجبر محمدي اسماعيل اباد,روستاي شمس اباد نوق سيد جلال الديني,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6914,ابراهيمي,34285418,,اسماعيل ابراهيمي نژاد رفسنجاني,بلوار امام علي روبروي خوابگاه دانشجويي,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6915,مریم مقیمی دلاکی همت آباد,,,مریم مقیمی دلاکی همت آباد,روستای کریم آباد علیا جنب مسجد,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6916,یدالله علیرضایی,34262584,,یدالله علیرضایی,خیابان امام نرسیده به میدان ابراهیم,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6917,حسن دره کردی,34322889,,حسن دره کردی,خیابان امیرکبیر غربی کوی تاکسی تلفنی هما,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6918,بمانجان عزيز اللهي,34373510,,بمانجان عزيزالهي,روستاي مهدي اباد واحد خ- صاحب الزمان,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6919,شاهوزايي,34255278,,زهرا شاهوزايي,خ- شريعتي جنب قصابي ايرج,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6920,حسین محمدی شهرآبادی,34259021,,جسین محمدی شهرآبادی,خیابان شیخ محمد خیابانی ( خیام ),,,سوپر مواد غذایی و خواربار,محصولات غذایی
6921,حسین اثنی عشری,34252348,,حسین اثنی عشری,خیابان کارگر جنب کوچه شماره 20,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6922,رضا پورمحمدعلی,34281295,,رضا پورمحمدعلی,خیابان جانبازان کوچه 23 پلاک 54,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6923,ياس,,,حسين عابديني,روستاي اسلام اباد خ- اصلي,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6924,حسين ميرزائي,34224069,,حسين ميرزائي,رفسنجان خيابان مصطفي خميني كوي شهيد دهشيري,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6925,امین قدک ( فروشگاه امین ),34260660,,امین قدک,خیابان شهدا نرسیده به چهارراه شهید بهشتی,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6926,سيدعلي اكبر طباطبائي رنجبر خليل آبادي,,,سيدعلي اكبر طباطبائي رنجبر خليل آبادي,بلوار هجرت اول جاده مهدي آباد,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6927,علی حاج حیدری داوران,34261975,,علی حاج حیدری داوران,خیابان کارگر جنوبی جنب کوچه 6,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6928,مرتضي رفسنجاني,,,مرتضي رفسنجاني خشتي,ح-ارسلان جنب شهرك فرهنگيان,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6929,فروشگاه رمضاني,,,علي پوررمضاني,رفسنجان خيابان ابوذر,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6930,دام دوشان,34226215,,مهدی محمدی صدر,رفسنجان بلوار شهید میرزائی نبش میدان شهید کاظمی,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6931,مهدی محمدرضاخانی ده عباسی - مواد غذائی ص,34260695,,مهدی مجمدرضا خانی ده عباسی,بلوار هجرت جنب کوچه نرگس,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6932,عمده فروشي اتحاد,34252846,,سيد مجتبي حسيني نوه داوراني,خ-شهيد انصاريجنب تربيت معلم سابق,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6933,محمداسماعیل میرزایی,34323898,,محمداسماعیل میرزایی,خیابان شهید مطهری بین کوچه 13 و 15,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6934,خواربارفروشي,34254723,,سيد عليرضا سيد جعفري اولياء,رفسنجان خيابان امام جنب بانك سپه,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6935,سيد محمود سيد ميرزايي,34263716,,سيدمحمود سيدميرزايي,خ- شريعتي غربي,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6936,شير علي كريم كشته,34323439,,شير علي كريم كشته,رفسنجان خيابان انقلاب اول بازار,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6937,محمدعلی الهی فر ( مهدی ),34266763,,محمدعلی الهی فر,میدان انقلاب,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6938,زمانی,,,فرهاد زمانی,خ نواب,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6939,محمد رضایی,,,محمد رضایی,خیابان جمهوری اسلامی نبش کوچه شماره 43,,,سوپر مواد غذایی و خواربار,محصولات غذایی
6940,رییسی مقدم,34322911,,حسن رییسی مقدم,خیابان حجت نبش جهار راه امیر کبیر,,,فروش و لوازم یدکی موتور سیکلت,خدمات وسایل نقلیه
6941,خرده فروشي طلا و جواهر,,,احمد شهدي نژاد,خ انقلاب,,,فروش طلا و جواهر و نقره,زیور آلات
6942,خرده فروشي طلا و جواهر,34252042,,حسين عباسي سرداري,خ انقلاب,,,فروش طلا و جواهر و نقره,زیور آلات
6943,خرده فروشي طلا و جواهر,34255543,,رضا بنی اسدی,خ انقلاب,,,فروش طلا و جواهر و نقره,زیور آلات
6944,خرده فروشي طلا و جواهر,34261783,,حسین اصغر زاده رفسنجانی,خ انقلاب,,,فروش طلا و جواهر و نقره,زیور آلات
6945,خرده فروشي طلا و جواهر,34264903,,محمد رنجبر,بازار مرکزی,,,فروش طلا و جواهر و نقره,زیور آلات
6946,خرده فروشي طلا و جواهر,34252022,,حسین شایق,خ انقلاب,,,فروش طلا و جواهر و نقره,زیور آلات
6947,خرده فروشي طلا و جواهر,34251057,,محمود حسنی فخر اباد,خ انقلاب پاساز حاج شریف,,,فروش طلا و جواهر و نقره,زیور آلات
6948,خرده فروشي طلا و جواهر,34312718,,زهرا پورامينايي,رفسنجان سرچشمه خيابان شهروند فروشگاه مركزي,,,فروش طلا و جواهر و نقره,زیور آلات
6949,خرده فروشي طلا و جواهر,34263156,,عباس ابوالهادي دره در,رفسنجان خيابان شهدا پاساژ بزرگ شهر,,,فروش طلا و جواهر و نقره,زیور آلات
6950,خرده فروشي طلا و جواهر,34259513,,رضا ارجمند كرماني,رفسنجان بازار نبش پاساژ يلدا,,,فروش طلا و جواهر و نقره,زیور آلات
6951,خرده فروشي طلا و جواهر,34251080,,محمدرضا موسيء تركان آباد,رفسنجان خيابان انقلاب پاساژ حاج شريف,,,فروش طلا و جواهر و نقره,زیور آلات
6952,خرده فروشي طلا و جواهر,34251078,,جليل عباسي سرداري,خ انقلاب پاساژ حاج شريف,,,فروش طلا و جواهر و نقره,زیور آلات
6953,میرحسینی,34266129,,سیدامیر فخرالدین میرحسینی پو,رفسنجان خیابان انقلاب بازار پاساژ یلدا,,,فروش طلا و جواهر و نقره,زیور آلات
6954,جواهری دهقان,34261025,,مصطفی دهقان,رفسنجان خیابان شهدا پاساژ بزرگ شهر,,,فروش طلا و جواهر و نقره,زیور آلات
6955,تعمیر عینک,34264398,,حبیب الله رئیسی استبرق,رفسنجان خیابان مدرس جنوبی,,,عینک,زیور آلات
6956,تعمیر عینک,34256108,,مهدی غفوری عباس آبادی,رفسنجان خیابان امام خمینی کوچه 36,,,عینک,زیور آلات
6957,طلافروشي,34257878,,حسين ميرزايي,رفسنجان خيابان شهدا پاساژ بزرگ شهر,,,فروش طلا و جواهر و نقره,زیور آلات
6958,طلا فروشي,34259192,,امين عباد الهي نيا,رفسنجان خيابان انقلاب پاساژ گلستان,,,فروش طلا و جواهر و نقره,زیور آلات
6959,ساعت فروشي,34234323,,احمد پاكزاد,رفسنجان ابتداي خيابان شهيد انصاري جنب فروشگاه كامياب,,,ساعت,زیور آلات
6960,ساعت فروشي,,,حميد رضايي نسب علي آباد,رفسنجان فردوسيه خيابان امام جنب مسجد جامع,,,ساعت,زیور آلات
6961,طلا فروشي,34257629,,سيد محسن حسيني رهبر,رفسنجان خيابان انقلاب پاساژ يلدا,,,فروش طلا و جواهر و نقره,زیور آلات
6962,طلا فروشي,34258272,,الهه حسيني فيروز آبادي,رفسنجان بازار مركزي پاساژ يلدا,,,فروش طلا و جواهر و نقره,زیور آلات
6963,طلا فروشي,34259065,,حامد شريفي رستم آبادي,رفسنجان بازار مركزي,,,فروش طلا و جواهر و نقره,زیور آلات
6964,طلا فروشي,34253499,,احمد حسني فخر آبادي,رفسنجان خيابان شهداء پاساژ بزرگ شهر طبقه زيرين,,,فروش طلا و جواهر و نقره,زیور آلات
6965,طلا فروشي,34265045,,احمد حسني فخر آباد,رفسنجان بازار مركزي بازارچه سجاد,,,فروش طلا و جواهر و نقره,زیور آلات
6966,تعمير انواع ساعت,34261318,,عباس صادقي حسين آباد,رفسنجان خيابان حافظ روبروي فروشگاه شهرداري,,,ساعت,زیور آلات
6967,طلا فروشي,34252039,,رضا خدا بخشي,رفسنجان خيابان انقلاب پاساژ حاج شريف,,,فروش طلا و جواهر و نقره,زیور آلات
6968,طلا فروشي,34269065,,علي حسن زاده,رفسنجان بازار مركزي پاساژ گلستان,,,فروش طلا و جواهر و نقره,زیور آلات
6969,طلا فروشي,34265046,,علي صاحبي دولت آباد,رفسنجان بازار مركزي بازارچه سجاد,,,فروش طلا و جواهر و نقره,زیور آلات
6970,طلا فروشي,34253017,,محمد علي قاسمي ابراهيم آبادي,رفسنجان بازار مركزي جنب پاساژ حاج شريف,,,فروش طلا و جواهر و نقره,زیور آلات
6971,طلا فروشي,34262572,,حسن رمضاني قوام آبادي,رفسنجان خيابان انقلاب نبش بازار طلا فروشي رمضاني,,,فروش طلا و جواهر و نقره,زیور آلات
6972,فروش عینک آفتابی,34259380,,شیرزاد برفه ای,رفسنجان خیابان معلم کوچه آموزش و پرورش,,,عینک,زیور آلات
6973,فروش عینک,34261822,,مریم یوسفی,رفسنجان خیابان مدرس جنب بستنی نازنین,,,عینک,زیور آلات
6974,طلا فروشي,34261441,,حسين شاهرخ آبادي,رفسنجان بازار مركزي پاساژ يلدا,,,فروش طلا و جواهر و نقره,زیور آلات
6975,طلا فروشي,34268949,,مسعود پاينده,رفسنجان خيابان انقلاب بازار مركزي,,,فروش طلا و جواهر و نقره,زیور آلات
6976,طلا فروشي,34257250,,حسين كمالي,رفسنجان بازار مركزي,,,فروش طلا و جواهر و نقره,زیور آلات
6977,طلاسازي ساحل,34265829,,محمدرضا آخوند عطار,رفسنجان خيابان شهدا پاساژ شمس,,,طلا سازی,زیور آلات
6978,زهرا خاک سفیدی,34257882,,زهرا خاک سفیدی,میدان شهدا اول بلوار مطهری,,,فراورده های لبنی,محصولات غذایی
6979,تانکرو تریلی سازی,34222956,,محمد خالوئی علم آبادی,رفسنجان بلوار شهید محمدی جنب شرکت ایران رفسنجان,,,مخزن و تانکرسازی,صنعت
6980,ابراهیم رمضانی,34254658,,ابراهیم رمضانی,خیابان باسداران جنب اداره پست,,,فراورده های لبنی,محصولات غذایی
6981,مرتضی شمسی راد ( پرد یس ),,,مرتضی شمسی راد,میدان شهدا جنب بستنی نازنین,,,فراورده های لبنی,محصولات غذایی
6982,تانكر سازي,34253153,,ابوالفضل باقري,رفسنجان مهدي آباد واحد بلوار حضرت ولي عصر (عج ),,,صنایع فلزی,صنعت
6983,محمدرضا کریمی ( سو پر محله صدر ),34332939,,محمدرضا کریمی,خیابان آیت اله صدر جنب پارک لاله,,,فراورده های لبنی,محصولات غذایی
6984,حمید منتظری,34265500,,حمید منتظری,رفسنجان - خیابان شهید بهشتی جنب مسجد جامع,,,فروش و تعمیر ماشین آلات کشاورزی,صنعت
6985,مرتضی بخشنده,34284629,,مرتضی بخشنده,بلوار آزادی رو بروی باربری آقای حسینی,,,فراورده های لبنی,محصولات غذایی
6986,محمد بورغلامرضا,34255336,,محمد بورغلامرضا,خیابان عدالت,,,فراورده های لبنی,محصولات غذایی
6987,محمد علي منتظري,34252194,,محمد علي منتظري,خ- شهيد بهشتي نبش مسجد جامع,,,صنایع فلزی,صنعت
6988,حسن حمیدی مقدم ( سو پر گلستان ),34281842,,حسن حمیدی مقدم,بلوار امام علی کوچه جنب سرای سالمندان پلاک 262,,,فراورده های لبنی,محصولات غذایی
6989,توليد ادوات كشاورزي فردوس,,,غلامرضا زينلي نسب عيش اباد,رفسنجان -فردوسيه نوق خ-امام جنب پمپ بنزين منزل شخصي,,,فروش و تعمیر ماشین آلات کشاورزی,صنعت
6990,مهدی مغویی نژاد,,,مهدی مغویی نژاد,بلوار کرمان جنب پمپ بنزین شاه حسینی,,,فراورده های لبنی,محصولات غذایی
6991,علی معصوم مؤمن آبادی - سوپر لبنیاتی ساحل,34228272,,علی معصوم مؤمن آبادی,میدان شهید امینی- بلوار شهید محمدی سوپر لبنیات ساحل,,,فراورده های لبنی,محصولات غذایی
6992,حسين علي سنجي,,,حسين علي سنجي,جاده كرمان نرسيده به پمپب نزين,,,فروش و تعمیر ماشین آلات کشاورزی,صنعت
6993,فرزاد پاکزاد,,,فرزاد پاکزاد,خیابان بنفشه کوچه17,,,فراورده های لبنی,محصولات غذایی
6994,نظري,34229834,,محمدحسين نظري,خ شهيد محمدي جنب مسجد كريم اباد,,,تولید و تعمیر انواع پمپ,صنعت
6995,عباس ابراهیمی رفسنجانی - فروشگاه مواد غذا®,34255323,,عباس ابراهیمی رفسنجانی,بلوار طالقانی نبش طالقانی 13 مواد غذایی رز,,,فراورده های لبنی,محصولات غذایی
6996,حسن پورمحمد جعفر آبادی,,,حسن پورمحمد جعفرآبادی,خیابان سلمان کوی والفجر2 روبروی فضای سبز,,,فراورده های لبنی,محصولات غذایی
6997,حسین صادقی,34329898,,حسین صادقی,خیابان امیرکبیرغربی شهرک شهید زینلی,,,فراورده های لبنی,محصولات غذایی
